CustomerID,Recency,Frequency,Amount,Country,Label
12346.0,326,0.0,0.0,United Kingdom,3
12347.0,40,182.0,4309.999999999997,Iceland,1
12348.0,76,31.0,1797.24,Finland,0
12349.0,19,73.0,1757.55,Italy,0
12350.0,311,17.0,334.40000000000003,Norway,3
12352.0,73,75.0,1545.4100000000003,Norway,0
12353.0,204,4.0,89.0,Bahrain,3
12354.0,233,58.0,1079.4,Spain,3
12355.0,96,13.0,459.4,Bahrain,0
12356.0,23,59.0,2811.4300000000007,Portugal,0
12357.0,182,131.0,6207.669999999996,Switzerland,1
12358.0,3,19.0,1168.06,Austria,0
12359.0,9,242.0,6245.530000000006,Cyprus,1
12360.0,53,129.0,2662.0600000000004,Austria,0
12361.0,288,10.0,189.9,Belgium,3
12362.0,12,258.0,5154.580000000002,Belgium,1
12363.0,36,23.0,552.0,,0
12364.0,41,85.0,1313.1,Belgium,0
12365.0,292,21.0,320.69,Cyprus,3
12367.0,212,11.0,168.9,Denmark,3
12370.0,52,167.0,3545.689999999998,Cyprus,0
12371.0,30,63.0,1887.9600000000005,Switzerland,0
12372.0,35,52.0,1298.0400000000002,Denmark,0
12373.0,342,14.0,364.6,Austria,3
12374.0,26,33.0,742.93,Austria,0
12375.0,11,16.0,455.4200000000001,Finland,0
12377.0,316,77.0,1628.1199999999997,Switzerland,3
12378.0,305,219.0,4008.620000000001,Switzerland,3
12379.0,82,39.0,850.2899999999996,Belgium,0
12380.0,22,103.0,2720.56,Belgium,0
12381.0,0,83.0,1803.9600000000005,Norway,0
12383.0,9,98.0,1839.31,Belgium,0
12384.0,29,24.0,566.16,Switzerland,0
12386.0,192,10.0,401.9,Australia,3
12388.0,16,100.0,2780.6600000000003,Australia,0
12390.0,80,32.0,549.8399999999999,Belgium,0
12391.0,22,100.0,460.88999999999993,Cyprus,0
12393.0,39,64.0,1582.6000000000004,Australia,0
12394.0,153,27.0,1272.48,Belgium,0
12395.0,5,153.0,2998.279999999999,Belgium,0
12397.0,136,126.0,2409.9000000000005,Belgium,0
12398.0,46,85.0,1635.66,Switzerland,0
12399.0,2,59.0,1108.65,Belgium,0
12401.0,99,5.0,84.3,Belgium,0
12402.0,324,11.0,225.6,Belgium,3
12403.0,50,4.0,409.7,Denmark,0
12405.0,149,54.0,1710.3900000000006,Finland,0
12406.0,22,102.0,3280.7500000000014,Denmark,0
12407.0,50,77.0,1708.1199999999997,Belgium,0
12408.0,128,97.0,2842.57,Belgium,0
12409.0,65,104.0,11056.930000000004,Switzerland,1
12410.0,38,24.0,681.0799999999999,Switzerland,0
12412.0,75,61.0,1226.88,Denmark,0
12413.0,9,36.0,694.15,France,0
12414.0,188,18.0,562.41,Austria,3
12415.0,25,654.0,123725.44999999988,Australia,2
12417.0,40,186.0,3578.8,Belgium,1
12418.0,113,34.0,668.5799999999997,Switzerland,0
12420.0,153,29.0,600.3900000000001,Cyprus,0
12421.0,16,44.0,806.2700000000002,Spain,0
12422.0,169,39.0,803.5599999999998,Australia,3
12423.0,89,124.0,1849.11,Belgium,0
12424.0,163,30.0,1760.9599999999998,Australia,0
12425.0,78,36.0,777.1999999999999,Portugal,0
12426.0,195,30.0,582.7299999999999,Germany,3
12427.0,12,27.0,708.3700000000001,Germany,0
12428.0,26,288.0,7877.200000000004,Finland,1
12429.0,9,97.0,3750.400000000001,Denmark,0
12430.0,44,11.0,256.4,Norway,0
12431.0,2,232.0,6416.389999999999,Australia,1
12432.0,43,108.0,5059.3200000000015,Norway,0
12433.0,10,420.0,13375.869999999992,Norway,2
12434.0,85,46.0,765.1899999999999,Australia,0
12435.0,80,36.0,7829.889999999998,Denmark,0
12436.0,335,16.0,509.0100000000001,Norway,3
12437.0,9,199.0,4896.659999999998,France,1
12438.0,15,98.0,2906.8500000000004,Norway,0
12441.0,485,11.0,173.55,France,3
12442.0,181,12.0,172.06,Spain,3
12444.0,0,177.0,5005.46,Norway,1
12445.0,22,4.0,133.4,Spain,0
12446.0,58,58.0,1002.3099999999998,RSA,0
12447.0,67,26.0,476.49,Belgium,0
12448.0,45,22.0,449.4500000000001,Spain,0
12449.0,23,191.0,4067.290000000001,Belgium,1
12450.0,174,8.0,197.88,Spain,3
12451.0,11,353.0,8933.519999999999,Switzerland,1
12452.0,17,21.0,428.5700000000001,Switzerland,0
12453.0,135,43.0,707.0899999999999,Austria,0
12454.0,54,0.0,-5.684341886080803e-14,Spain,0
12455.0,74,90.0,2466.859999999997,Spain,0
12456.0,45,121.0,3153.889999999998,Switzerland,0
12457.0,0,58.0,1917.78,Switzerland,0
12458.0,72,38.0,947.4,Switzerland,0
12461.0,125,35.0,826.8800000000001,Switzerland,0
12462.0,19,52.0,1124.0099999999998,Spain,0
12463.0,6,78.0,1303.6299999999997,Belgium,0
12464.0,11,29.0,1212.0499999999995,Belgium,0
12465.0,18,43.0,733.8900000000001,Belgium,0
12468.0,144,36.0,724.04,Germany,0
12471.0,0,389.0,18740.91999999994,Germany,2
12472.0,52,287.0,6229.480000000004,Germany,1
12473.0,54,157.0,2848.23,Germany,0
12474.0,3,391.0,7116.47,Germany,1
12475.0,54,36.0,723.38,Germany,0
12476.0,16,202.0,6546.580000000007,Germany,1
12477.0,23,292.0,13117.009999999991,Germany,2
12478.0,181,36.0,680.9900000000002,Greece,3
12479.0,12,27.0,477.30000000000007,Germany,0
12480.0,29,154.0,3281.630000000001,Germany,0
12481.0,23,216.0,5590.8600000000015,Germany,1
12483.0,18,69.0,2327.130000000001,Sweden,0
12484.0,101,342.0,4495.27,Spain,1
12488.0,10,55.0,1298.66,France,0
12489.0,162,15.0,334.92999999999995,France,3
12490.0,18,245.0,5417.929999999999,France,1
12491.0,333,26.0,460.4000000000001,France,3
12492.0,106,20.0,263.21,Germany,0
12493.0,166,21.0,416.79,France,3
12494.0,10,70.0,1139.3500000000008,France,0
12497.0,82,14.0,1043.1,Germany,0
12498.0,22,23.0,403.7,Germany,0
12500.0,24,57.0,4206.27,Germany,0
12501.0,162,138.0,2089.68,Germany,0
12502.0,188,147.0,3723.87,Spain,0
12503.0,192,-1.0,-1126.0,Spain,3
12504.0,19,3.0,114.00000000000004,Germany,0
12505.0,38,-1.0,-4.5,Italy,0
12506.0,233,23.0,73.50000000000003,France,3
12507.0,135,21.0,1258.06,Spain,0
12508.0,27,69.0,398.27,France,0
12509.0,285,7.0,176.5,France,3
12510.0,143,33.0,982.57,Spain,0
12512.0,244,34.0,138.03000000000006,Israel,3
12513.0,85,34.0,586.7900000000001,France,0
12514.0,268,51.0,1017.6800000000002,Italy,3
12515.0,354,16.0,383.7,Italy,3
12516.0,4,26.0,1312.06,Germany,0
12517.0,29,282.0,2464.8899999999994,Germany,1
12518.0,0,124.0,2056.8899999999994,Germany,0
12519.0,153,18.0,340.84,Germany,0
12520.0,37,149.0,2582.51,Germany,0
12521.0,143,38.0,599.6800000000001,Germany,0
12522.0,40,12.0,192.72000000000003,Germany,0
12523.0,9,102.0,1745.5700000000006,France,0
12524.0,10,144.0,4485.719999999999,Germany,0
12526.0,54,71.0,1316.6600000000003,Germany,0
12527.0,82,18.0,348.71000000000004,Germany,0
12528.0,10,89.0,1922.2800000000009,Germany,0
12530.0,30,64.0,1623.6299999999994,Germany,0
12531.0,15,17.0,125.22,Germany,0
12532.0,90,16.0,349.83,France,0
12534.0,336,63.0,1089.18,Germany,3
12535.0,92,34.0,716.3500000000001,France,0
12536.0,30,249.0,4106.820000000003,France,1
12538.0,60,21.0,363.95,Spain,0
12539.0,23,272.0,3852.499999999999,Spain,1
12540.0,20,475.0,13309.039999999992,Spain,2
12541.0,60,52.0,981.1800000000002,Spain,0
12544.0,60,18.0,355.7,Spain,0
12545.0,76,50.0,1000.39,Spain,0
12546.0,47,68.0,1141.5,Spain,0
12547.0,198,8.0,207.8,Spain,3
12548.0,167,5.0,95.2,Spain,3
12550.0,80,57.0,964.8299999999994,Spain,0
12551.0,358,10.0,168.0,Spain,3
12552.0,40,20.0,437.82,Italy,0
12553.0,0,186.0,3652.250000000002,France,1
12556.0,33,121.0,603.7099999999997,Spain,0
12557.0,17,33.0,11990.96,Spain,1
12558.0,120,0.0,2.664535259100376e-14,USA,0
12559.0,311,20.0,536.2099999999999,Germany,3
12560.0,101,99.0,2101.3900000000003,Germany,0
12561.0,69,16.0,238.85,Germany,0
12562.0,23,168.0,3781.7400000000025,France,1
12564.0,262,21.0,456.9000000000001,France,3
12565.0,282,8.0,131.17,Saudi Arabia,3
12566.0,73,18.0,346.70000000000005,Germany,0
12567.0,23,429.0,9114.939999999991,France,1
12569.0,0,185.0,4064.989999999999,Germany,1
12571.0,40,34.0,519.6099999999999,France,0
12572.0,48,58.0,1004.7200000000004,Germany,0
12573.0,228,28.0,160.54,France,3
12574.0,316,11.0,218.45,France,3
12576.0,130,87.0,1306.9799999999998,Poland,0
12577.0,243,146.0,595.4000000000003,France,3
12578.0,22,108.0,2753.3599999999988,Italy,0
12579.0,74,27.0,410.72,France,0
12580.0,159,24.0,415.7,Germany,3
12581.0,40,15.0,197.71,Germany,0
12582.0,239,22.0,511.3599999999999,Finland,3
12583.0,0,243.0,7187.339999999993,France,1
12584.0,10,66.0,1893.9500000000005,Italy,0
12585.0,223,77.0,1982.809999999999,Germany,3
12586.0,18,10.0,179.94,Italy,0
12587.0,301,4.0,144.0,Finland,3
12588.0,40,10.0,214.9,Finland,0
12589.0,29,35.0,646.6800000000001,France,0
12590.0,5,66.0,9861.380000000005,Germany,1
12591.0,318,26.0,452.8499999999999,Italy,3
12592.0,66,18.0,437.6,Germany,0
12593.0,109,21.0,418.1,France,0
12594.0,47,117.0,3320.2199999999984,Italy,0
